country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,continent
Kazakhstan,124,246,12.0,6.8,Asia
Comoros,1,3,1.0,0.1,Africa
Sao Tome & Principe,56,38,140.0,4.2,Africa
Serbia,283,131,127.0,9.6,Europe
Philippines,71,186,1.0,4.6,Asia
Djibouti,15,44,3.0,1.1,Africa
Luxembourg,236,133,271.0,11.4,Europe
Swaziland,90,2,2.0,4.7,Africa
Russian Federation,247,326,73.0,11.5,Asia
Canada,240,122,100.0,8.2,North America
Colombia,159,76,3.0,4.2,South America
Burkina Faso,25,7,7.0,4.3,Africa
Pakistan,0,0,0.0,0.0,Asia
Benin,34,4,13.0,1.1,Africa
Solomon Islands,56,11,1.0,1.2,Oceania
Tonga,36,21,5.0,1.1,Oceania
Kyrgyzstan,31,97,6.0,2.4,Asia
Costa Rica,149,87,11.0,4.4,North America
Congo,76,1,9.0,1.7,Africa
Burundi,88,0,0.0,6.3,Africa
Bulgaria,231,252,94.0,10.3,Europe
Uzbekistan,25,101,8.0,2.4,Asia
Mauritius,98,31,18.0,2.6,Africa
Palau,306,63,23.0,6.9,Oceania
Slovenia,270,51,276.0,10.6,Europe
Macedonia,106,27,86.0,3.9,Europe
Bolivia,167,41,8.0,3.8,South America
Kiribati,21,34,1.0,1.0,Oceania
Brazil,245,145,16.0,7.2,South America
Georgia,52,100,149.0,5.4,Europe
Panama,285,104,18.0,7.2,North America
Cameroon,147,1,4.0,5.8,Africa
Netherlands,251,88,190.0,9.4,Europe
Czech Republic,361,170,134.0,11.8,Europe
Norway,169,71,129.0,6.7,Europe
Senegal,9,1,7.0,0.3,Africa
Maldives,0,0,0.0,0.0,Asia
DR Congo,32,3,1.0,2.3,Africa
Lebanon,20,55,31.0,1.9,Asia
Syria,5,35,16.0,1.0,Asia
Morocco,12,6,10.0,0.5,Africa
New Zealand,203,79,175.0,9.3,Oceania
Monaco,0,0,0.0,0.0,Europe
Seychelles,157,25,51.0,4.1,Africa
Indonesia,5,1,0.0,0.1,Asia
Laos,62,0,123.0,6.2,Asia
Nauru,49,0,8.0,1.0,Oceania
Sri Lanka,16,104,0.0,2.2,Asia
North Korea,0,0,0.0,0.0,Asia
Japan,77,202,16.0,7.0,Asia
Paraguay,213,117,74.0,7.3,South America
Poland,343,215,56.0,10.9,Europe
Micronesia,62,50,18.0,2.3,Oceania
Iraq,9,3,0.0,0.2,Asia
Guatemala,53,69,2.0,2.2,North America
Thailand,99,258,1.0,6.4,Asia
Mozambique,47,18,5.0,1.3,Africa
Argentina,193,25,221.0,8.3,South America
Cabo Verde,144,56,16.0,4.0,Africa
Sweden,152,60,186.0,7.2,Europe
Tanzania,36,6,1.0,5.7,Africa
Turkmenistan,19,71,32.0,2.2,Asia
Tuvalu,6,41,9.0,1.0,Oceania
Saudi Arabia,0,5,0.0,0.1,Asia
Qatar,1,42,7.0,0.9,Asia
Australia,261,72,212.0,10.4,Oceania
Cote d'Ivoire,37,1,7.0,4.0,Africa
Tunisia,51,3,20.0,1.3,Africa
Albania,89,132,54.0,4.9,Europe
Egypt,6,4,1.0,0.2,Africa
Belgium,295,84,212.0,10.5,Europe
Turkey,51,22,7.0,1.4,Asia
Greece,133,112,218.0,8.3,Europe
Moldova,109,226,18.0,6.3,Europe
China,79,192,8.0,5.0,Asia
Ecuador,162,74,3.0,4.2,South America
Samoa,105,18,24.0,2.6,Oceania
Venezuela,333,100,3.0,7.7,South America
Antigua & Barbuda,102,128,45.0,4.9,North America
Israel,63,69,9.0,2.5,Asia
South Africa,225,76,81.0,8.2,Africa
Bhutan,23,0,0.0,0.4,Asia
